"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,0,0,4,0,0,0,0,5,5,0,0,0,0,0,671790
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,608638
2019,0,0,3,0,0,0,0,6,6,0,0,0,0,0,640470
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,606424
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,656288
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,570240
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,660853
2019,0,0,3,1,0,0,0,9,10,0.1,0.1,0.1,0.2,0.087,608723
2019,0,0,4,0,1,0,0,5,6,0.167,0.167,0.333,0.5,0.203,594835
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,613534
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,664196
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,596043
2019,1,0,0,0,0,0,0,1,2,0,0.5,0,0.5,0.345,453281
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,571539
2019,1,0,1,0,0,0,0,2,3,0,0.333,0,0.333,0.23,594986
2019,0,0,1,0,0,0,0,3,3,0,0,0,0,0,607391
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,656257
2019,1,0,2,1,0,0,1,8,11,0.2,0.273,0.5,0.773,0.318,656713
2019,0,0,3,0,0,0,0,5,5,0,0,0,0,0,669456
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,656887
2019,0,0,3,0,0,0,0,9,9,0,0,0,0,0,514913
2019,0,0,3,0,0,0,0,4,4,0,0,0,0,0,664353
2019,0,0,6,1,0,0,0,11,12,0.083,0.083,0.083,0.166,0.072,621219
2019,0,0,7,1,2,0,0,19,22,0.136,0.136,0.227,0.363,0.15,475247
2019,0,0,4,1,1,0,1,9,12,0.25,0.25,0.583,0.833,0.336,623168
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,668676
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,543045
2019,1,1,1,2,2,0,0,6,12,0.4,0.5,0.6,1.1,0.465,621438
