batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
622569,"Reyes, Pablo",R,R,47,84.19166666666666,18.72222222222222,0.30119444444444443,0.2531914893617021,0.3196388888888889,0.02127659574468085,0.027777777777777776
622761,"Mateo, Jorge",R,L,79,86.79310344827586,4.275862068965517,0.3481206896551724,0.34746835443037977,0.37303448275862067,0.11392405063291139,0.05172413793103448
622761,"Mateo, Jorge",R,R,150,86.88571428571429,13.066666666666666,0.2841442307692308,0.234,0.3325961538461539,0.12,0.06666666666666667
623168,"Heineman, Tyler",L,R,27,80.93529411764706,24.058823529411764,0.29358823529411765,0.30925925925925923,0.29241176470588237,0.037037037037037035,0
623205,"Velazquez, Andrew",L,R,16,77.14,2.9,0.2213,0.278125,0.24530000000000002,0.0625,0
623205,"Velazquez, Andrew",R,L,9,88.62,11.2,0.3246,0.5111111111111111,0.30200000000000005,0,0
623507,"Lester, Josh",L,L,2,75.25,-3,0.15300000000000002,0.45,0.14850000000000002,0,0
623507,"Lester, Josh",L,R,21,87.56923076923077,-1.4615384615384615,0.325,0.20476190476190476,0.30846153846153845,0,0
623912,"Ramírez, Harold",R,L,55,90.78139534883721,3.604651162790698,0.3512093023255814,0.4718181818181818,0.4062790697674419,0.2727272727272727,0.09302325581395349
623912,"Ramírez, Harold",R,R,167,89.21008403361344,10.756302521008404,0.33857983193277313,0.34341317365269464,0.37351260504201683,0.1437125748502994,0.05042016806722689
623993,"Santander, Anthony",L,R,221,88.97735849056603,23.9811320754717,0.3111194968553459,0.32714932126696833,0.36698113207547167,0.19457013574660634,0.08176100628930817
623993,"Santander, Anthony",R,L,79,94.73333333333333,13.642857142857142,0.3121904761904762,0.40632911392405063,0.3948809523809524,0.189873417721519,0.14285714285714285
624413,"Alonso, Pete",R,L,81,88.4875,15.928571428571429,0.3899285714285714,0.35246913580246914,0.4966785714285714,0.25925925925925924,0.14285714285714285
624413,"Alonso, Pete",R,R,201,90.13805970149254,15.58955223880597,0.33765671641791045,0.3723880597014925,0.4562835820895522,0.27860696517412936,0.17164179104477612
624414,"Arroyo, Christian",R,L,45,86.71666666666667,15.3,0.2854333333333333,0.2877777777777778,0.31433333333333335,0.2,0.06666666666666667
624414,"Arroyo, Christian",R,R,89,86.98153846153846,11.169230769230769,0.32061538461538464,0.31235955056179776,0.36007692307692307,0.11235955056179775,0.07692307692307693
624415,"Biggio, Cavan",L,L,12,74.75,27,0.14625,0.20833333333333334,0.14525000000000002,0,0
624415,"Biggio, Cavan",L,R,115,88.0774647887324,16.760563380281692,0.3087887323943662,0.29,0.39129577464788734,0.1826086956521739,0.14084507042253522
624424,"Conforto, Michael",L,L,60,86.7764705882353,10.882352941176471,0.31779411764705884,0.32333333333333336,0.37591176470588233,0.18333333333333332,0.08823529411764706
624424,"Conforto, Michael",L,R,203,90.33968253968254,9.380952380952381,0.34695238095238096,0.33842364532019703,0.3976269841269841,0.15270935960591134,0.07142857142857142
624428,"Frazier, Adam",L,L,57,85.25227272727273,9.954545454545455,0.24859090909090908,0.2885964912280702,0.24529545454545454,0.12280701754385964,0.022727272727272728
624428,"Frazier, Adam",L,R,203,85.64938271604939,14.345679012345679,0.33125925925925925,0.30221674876847293,0.3406666666666667,0.1477832512315271,0.030864197530864196
624431,"Trevino, Jose",R,L,31,89.98076923076923,14.76923076923077,0.3045769230769231,0.3467741935483871,0.3195,0.12903225806451613,0
624431,"Trevino, Jose",R,R,105,85.27738095238095,10.285714285714286,0.2952142857142857,0.25142857142857145,0.306,0.0761904761904762,0.023809523809523808
624503,"Gordon, Nick",L,L,10,82.18888888888888,7.222222222222222,0.3088888888888889,0.305,0.31322222222222224,0.1,0
624503,"Gordon, Nick",L,R,83,88.33472222222223,9.527777777777779,0.27190277777777777,0.22590361445783133,0.3226111111111111,0.14457831325301204,0.05555555555555555
624512,"McGuire, Reese",L,L,14,68.37777777777778,8.555555555555555,0.37677777777777777,0.4785714285714286,0.35144444444444445,0.07142857142857142,0
624512,"McGuire, Reese",L,R,102,82.81911764705882,3.6911764705882355,0.25266666666666665,0.28774509803921566,0.25422727272727275,0.0784313725490196,0
624585,"Soler, Jorge",R,L,70,90.62558139534883,21.674418604651162,0.4250232558139535,0.5107142857142857,0.6387441860465116,0.42857142857142855,0.3023255813953488
624585,"Soler, Jorge",R,R,236,90.36315789473684,17.93421052631579,0.3298815789473684,0.3400423728813559,0.41226973684210527,0.1906779661016949,0.13157894736842105
624641,"Sosa, Edmundo",R,L,69,87.68478260869566,20.17391304347826,0.30976086956521737,0.28840579710144926,0.3512608695652174,0.14492753623188406,0.08695652173913043
624641,"Sosa, Edmundo",R,R,100,86.53733333333334,9.213333333333333,0.28289333333333333,0.265,0.31132,0.11,0.04
628451,"Ibáñez, Andy",R,L,34,92.84137931034482,15.448275862068966,0.3351034482758621,0.32794117647058824,0.42744827586206896,0.3235294117647059,0.13793103448275862
628451,"Ibáñez, Andy",R,R,107,90.78095238095239,12.369047619047619,0.34573809523809523,0.30794392523364483,0.39326190476190476,0.12149532710280374,0.09523809523809523
630105,"Cronenworth, Jake",L,L,101,86.8625,13.828125,0.314359375,0.3217821782178218,0.340921875,0.15841584158415842,0.0625
630105,"Cronenworth, Jake",L,R,214,86.62517482517482,14.818181818181818,0.2903732394366197,0.2969626168224299,0.31864084507042256,0.10747663551401869,0.027972027972027972
